LIM,FIELD,Collected,Delivered,NOX,NO2,NO3,O_Phos
190381-001,CLIS 1,5/2/2019,9/23/2019,0.074,0.004,0.07,NSS
190381-002,CLIS 2,5/2/2019,9/23/2019,0.108,0.004,0.104,NSS
190381-003,CLIS 3,5/2/2019,9/23/2019,0.109,0.004,0.105,NSS
190381-004,EXRX 1,5/2/2019,9/23/2019,0.216,0.015,0.201,NSS
190381-005,EXRX 2,5/2/2019,9/23/2019,0.117,0.009,0.108,NSS
190381-006,EXRX 3,5/2/2019,9/23/2019,0.194,0.013,0.181,NSS
190381-007,ARTG 1,5/29/2019,9/23/2019,0.074,0.004,0.07,NSS
190381-008,ARTG 2,5/29/2019,9/23/2019,0.101,0.004,0.097,NSS
190381-009,ARTG 3,5/29/2019,9/23/2019,0.089,0.003,0.086,NSS
190381-010,WLIS 1,5/29/2019,9/23/2019,0.017,ND,0.017,0.117
190381-011,WLIS 2,5/29/2019,9/23/2019,0.012,ND,0.012,0.09
190381-012,WLIS 3,5/29/2019,9/23/2019,0.013,ND,0.013,0.058
190381-013,CLIS 1,6/19/2019,9/23/2019,0.47,0.005,0.465,NSS
190381-014,CLIS 2,6/19/2019,9/23/2019,0.423,0.005,0.418,NSS
190381-015,CLIS 3,6/19/2019,9/23/2019,0.136,0.004,0.132,NSS
190381-016,ARTG 1,6/26/2019,9/23/2019,0.027,0.003,0.024,NSS
190381-017,ARTG 2,6/26/2019,9/23/2019,0.012,0.003,0.009,NSS
190381-018,EXRX 1,6/26/2019,9/23/2019,0.226,0.016,0.21,NSS
190381-019,EXRX 2,6/26/2019,9/23/2019,0.256,0.017,0.239,NSS
190381-020,WLIS 1,6/26/2019,9/23/2019,0.033,0.005,0.028,0.12
190381-021,WLIS 2,6/26/2019,9/23/2019,0.019,ND,0.019,0.105
190381-022,ARTG 1,7/10/2019,9/23/2019,0.144,0.006,0.138,NSS
190381-023,ARTG 2,7/10/2019,9/23/2019,0.128,0.005,0.123,NSS
190381-024,EXRX 1,7/10/2019,9/23/2019,0.154,0.004,0.15,NSS
190381-025,EXRX 2,7/10/2019,9/23/2019,0.128,0.005,0.123,NSS
190381-026,WLIS 1,7/10/2019,9/23/2019,0.017,0.008,0.009,0.134
190381-027,WLIS 2,7/10/2019,9/23/2019,0.022,0.007,0.015,0.191
190381-028,CLIS 1,7/11/2019,9/23/2019,0.113,0.004,0.109,NSS
190381-029,CLIS 2,7/11/2019,9/23/2019,0.361,0.011,0.35,NSS
190381-030,ARTG 1,7/17/2019,9/23/2019,0.006,ND,0.006,NSS
190381-031,ARTG 2,7/17/2019,9/23/2019,0.007,0.003,0.004,NSS
190381-032,EXRX 1,7/17/2019,9/23/2019,0.003,ND,0.003,NSS
190381-033,EXRX 2,7/17/2019,9/23/2019,0.008,0.007,ND,NSS
190381-034,WLIS 1,7/17/2019,9/23/2019,0.019,ND,0.019,0.01
190381-035,WLIS 2,7/17/2019,9/23/2019,0.027,ND,0.027,0.015
190381-036,ARTG 1,7/24/2019,9/23/2019,0.004,ND,0.004,NSS
190381-037,ARTG 2,7/24/2019,9/23/2019,0.009,0.004,0.005,NSS
190381-038,EXRX 1,7/24/2019,9/23/2019,0.01,0.003,0.007,NSS
190381-039,EXRX 2,7/24/2019,9/23/2019,0.004,ND,0.004,NSS
190381-040,WLIS 1,7/24/2019,9/23/2019,0.02,ND,0.02,0.012
190381-041,WLIS 2,7/24/2019,9/23/2019,0.054,ND,0.054,0.018
190381-042,CLIS 1,7/25/2019,9/23/2019,0.003,ND,0.003,NSS
190381-043,CLIS 2,7/25/2019,9/23/2019,0.009,0.004,0.005,NSS
190381-044,CLIS 1,8/9/2019,9/23/2019,0.008,ND,0.008,NSS
190381-045,ARTG 1,8/22/2019,9/23/2019,0.005,0.003,ND,NSS
190381-046,ARTG 2,8/22/2019,9/23/2019,0.01,0.004,0.006,NSS
190381-047,EXRX 1,8/22/2019,9/23/2019,0.075,0.011,0.064,NSS
190381-048,EXRX 2,8/22/2019,9/23/2019,0.038,0.005,0.033,NSS
190381-049,WLIS 1,8/22/2019,9/23/2019,0.043,0.003,0.04,0.012
