TmStamp,Field,SampleID,smc_mgL
3/17/2021 15:20,WLIS,1,1.2
3/17/2021 15:20,WLIS,2,1.08
3/17/2021 17:52,EXRX,1,1.54
3/17/2021 17:52,EXRX,2,1.44
4/29/2021 13:10,ARTG,1,0.96
4/29/2021 13:10,ARTG,2,1.18
6/7/2021 17:52,EXRX,1,2.8
6/7/2021 17:52,EXRX,2,1.7
7/15/2021 10:53,WLIS,1,3.84
7/15/2021 10:53,WLIS,2,3.26
7/15/2021 11:58,EXRX,1,8.08
7/15/2021 11:58,EXRX,2,8.1
7/28/2021 11:10,WLIS,1,3.12
7/28/2021 11:10,WLIS,2,2.67
7/28/2021 12:20,ARTG,1,3.84
7/28/2021 12:20,ARTG,2,3.72
7/28/2021 13:28,EXRX,1,2.76
7/28/2021 13:28,EXRX,2,2.6
9/7/2021 10:55,ARTG,1,3.18
9/7/2021 10:55,ARTG,2,1.8
9/7/2021 11:50,WLIS,1,2.32
9/7/2021 11:50,WLIS,2,1.9
9/7/2021 12:40,EXRX,1,4.04
9/7/2021 12:40,EXRX,2,3.98
