,T,S,DO,P,C,rho,pH,DOsat
BD_99,24.7,29.8,14.1,55,43.5,23.15,9,124
BD_1,-1.14,24.4,1.84,0.6,2.23,16.9,7.2,24
Max_Value,30,35,15,60,45,25,10,150
Min_Value,-5,5,0,0,0,16,6,16
Max_Jump,1.35,0.54,1.48,1.36,0.12,0.61,0.05,21.67
Min_Jump,0.77,0.27,0.83,0.89,0.07,0.30,0.03,11.95
SPK_sfc_top,1.07,0.4,1.04,0.3,0.1,0.52,0.03,15
SPK_sfc_bot,0.6,0.18,0.55,0.2,0.05,0.24,0.02,7.86
SPK_mid_top,0.74,0.28,0.67,1.75,0.04,1.89,0.03,10.54
SPK_mid_bot,0.48,0.19,0.47,0.54,0.03,0.27,0.02,6.69
SPK_btm_top,0.58,0.34,0.59,1.18,0.05,0.32,0.03,8.33
SPK_btm_bot,0.27,0.18,0.28,0.76,0.03,0.17,0.02,4.02
